id,name,team,position,assist,chance_created,goals_score,goals_conceded,total_points,price,code
239,Mason Holgate,Everton,Defenders,0,1,0,3,7,42,194164
240,Ben Godfrey,Everton,Defenders,0,64,0,13,19,48,198826
241,Richarlison de Andrade,Everton,Forwards,1,103,2,10,23,74,212319
242,João Virgínia,Everton,Goalkeepers,0,0,0,0,0,40,222627
243,Asmir Begović,Everton,Goalkeepers,0,0,0,3,1,40,40349
244,Andros Townsend,Everton,Midfielders,2,334,3,14,52,56,60252
245,Demarai Gray,Everton,Midfielders,2,234,3,12,48,57,172632
246,Jonjoe Kenny,Everton,Defenders,0,0,0,0,1,44,153673
247,Anthony Gordon,Everton,Midfielders,0,76,0,3,10,45,232826
248,Jean-Philippe Gbamin,Everton,Midfielders,0,0,0,2,2,45,160987
249,Jarrad Branthwaite,Everton,Defenders,0,0,0,0,0,40,480455
250,Nathan Broadhead,Everton,Forwards,0,0,0,0,0,45,173818
251,Moise Kean,Everton,Forwards,0,0,0,0,1,60,242058
252,Niels Nkounkou,Everton,Defenders,0,0,0,0,0,40,495542
253,Andy Lonergan,Everton,Goalkeepers,0,0,0,0,0,40,11948
254,Salomón Rondón,Everton,Forwards,0,48,0,7,11,60,57134
255,Ellis Simms,Everton,Forwards,0,0,0,0,0,45,218997
256,Lewis Dobbin,Everton,Forwards,0,1,0,0,2,45,461421
257,Charlie Whitaker,Everton,Midfielders,0,0,0,0,0,45,491556
258,Harry Tyrer,Everton,Goalkeepers,0,0,0,0,0,40,447325
259,Cenk Tosun,Everton,Forwards,0,0,0,0,0,50,66838
260,Reece Welch,Everton,Defenders,0,0,0,0,0,40,474907
261,Kasper Schmeichel,Leicester,Goalkeepers,0,0,0,18,31,50,17745
262,Jonny Evans,Leicester,Defenders,0,2,0,7,6,54,37642
263,Marc Albrighton,Leicester,Midfielders,0,42,1,2,10,52,51938
264,Nampalys Mendy,Leicester,Midfielders,0,0,0,0,0,44,86881
265,Danny Ward,Leicester,Goalkeepers,0,0,0,0,0,40,95463
266,Jamie Vardy,Leicester,Forwards,1,137,7,16,60,108,101668
267,Dennis Praet,Leicester,Midfielders,0,0,0,0,0,49,106837
268,Ricardo Domingos Barbosa Pereira,Leicester,Defenders,2,84,0,12,21,53,111931
269,Daniel Amartey,Leicester,Defenders,0,18,0,10,12,39,155569
270,Timothy Castagne,Leicester,Defenders,0,61,0,10,13,53,166477
271,Youri Tielemans,Leicester,Midfielders,2,332,3,18,51,65,166989
272,Ayoze Pérez,Leicester,Midfielders,2,78,0,5,9,58,168580
273,James Maddison,Leicester,Midfielders,0,98,1,11,25,66,172780
274,Kelechi Iheanacho,Leicester,Forwards,2,107,1,6,26,70,173515
275,Hamza Choudhury,Leicester,Midfielders,0,2,0,0,1,44,197469
276,Harvey Barnes,Leicester,Midfielders,1,108,1,11,27,65,201666
277,Wilfred Ndidi,Leicester,Midfielders,0,19,0,11,13,48,203341
278,Çaglar Söyüncü,Leicester,Defenders,0,9,1,18,23,49,218031
279,James Justin,Leicester,Defenders,0,0,0,0,0,49,220627
280,Luke Thomas,Leicester,Defenders,0,32,0,7,10,43,244619
281,Wesley Fofana,Leicester,Defenders,0,0,0,0,0,43,444463
282,Jannik Vestergaard,Leicester,Defenders,0,14,0,6,11,48,93100
283,Patson Daka,Leicester,Forwards,1,26,1,4,12,71,245419
284,Boubakary Soumaré,Leicester,Midfielders,1,60,0,13,19,48,225902
285,Ryan Bertrand,Leicester,Defenders,0,15,0,7,4,47,40146
286,Kiernan Dewsbury-Hall,Leicester,Midfielders,0,12,0,0,2,45,215413
287,Eldin Jakupovic,Leicester,Goalkeepers,0,0,0,0,0,40,11974
288,Ademola Lookman,Leicester,Midfielders,0,91,0,6,10,60,219352
289,Pablo Hernández Domínguez,Leeds,Midfielders,0,0,0,0,0,55,28690
290,Francisco Casilla Cortés,Leeds,Goalkeepers,0,0,0,0,0,45,39790
291,Liam Cooper,Leeds,Defenders,1,39,0,18,22,45,55914
292,Luke Ayling,Leeds,Defenders,0,33,1,12,12,43,66588
293,Mateusz Klich,Leeds,Midfielders,1,164,1,12,25,54,72222
294,Rodrigo Moreno,Leeds,Forwards,0,241,2,10,26,63,80954
295,Stuart Dallas,Leeds,Midfielders,1,185,0,18,27,51,87873
296,Patrick Bamford,Leeds,Forwards,2,44,1,12,21,77,106617
297,Diego Llorente,Leeds,Defenders,0,17,1,6,24,45,149915
298,Kalvin Phillips,Leeds,Midfielders,1,92,0,11,19,48,155405
299,Hélder Wander Sousa de Azevedo e Costa,Leeds,Midfielders,0,0,0,0,1,54,165808
300,Tyler Roberts,Leeds,Midfielders,0,101,0,4,10,48,173821
301,Robin Koch,Leeds,Defenders,0,0,0,5,0,43,193645
302,Ian Carlo Poveda-Ocampo,Leeds,Midfielders,0,0,0,0,0,45,215460
303,Raphael Dias Belloli,Leeds,Midfielders,0,316,5,16,50,66,219961
304,Jamie Shackleton,Leeds,Midfielders,1,27,0,5,15,45,221610
305,Pascal Struijk,Leeds,Defenders,0,17,0,14,7,44,222694
306,Illan Meslier,Leeds,Goalkeepers,0,0,0,18,29,50,437495
307,Jack Harrison,Leeds,Midfielders,0,166,0,16,15,56,221399
308,Daniel James,Leeds,Midfielders,1,77,0,7,21,60,200617
309,Héctor Junior Firpo Adames,Leeds,Defenders,0,82,0,12,8,48,443967
310,Kristoffer Klaesson,Leeds,Goalkeepers,0,0,0,0,0,44,223081
311,Sam Greenwood,Leeds,Forwards,0,0,0,0,0,45,248937
312,Crysencio Summerville,Leeds,Midfielders,0,7,0,0,4,45,450070
313,Adam Forshaw,Leeds,Midfielders,0,34,0,1,4,45,80179
314,Cody Drameh,Leeds,Defenders,0,0,0,0,0,40,433590
315,Charlie Cresswell,Leeds,Defenders,0,0,0,2,2,40,492373
316,Liam McCarron,Leeds,Midfielders,0,0,0,0,0,45,464618
317,Joe Gelhardt,Leeds,Forwards,1,11,0,0,5,45,462635
318,Nohan Kenneh,Leeds,Midfielders,0,0,0,0,0,44,469249
319,Stuart McKinstry,Leeds,Midfielders,0,0,0,0,0,44,473342
320,Leo Fuhr Hjelde,Leeds,Defenders,0,0,0,0,0,40,477547
321,Lewis Bate,Leeds,Midfielders,0,0,0,0,0,45,450529
322,James Milner,Liverpool,Midfielders,1,115,0,1,14,49,15157
323,Jordan Henderson,Liverpool,Midfielders,2,242,1,11,38,50,56979
324,Adrián San Miguel del Castillo,Liverpool,Goalkeepers,0,0,0,0,0,44,60706
325,Joel Matip,Liverpool,Defenders,0,41,0,9,29,50,60914
326,Thiago Alcántara do Nascimento,Liverpool,Midfielders,1,68,0,1,13,53,61558
327,Xherdan Shaqiri,Liverpool,Midfielders,0,0,0,0,0,59,68312
328,Alex Oxlade-Chamberlain,Liverpool,Midfielders,1,66,0,4,15,58,81880
329,Roberto Firmino,Liverpool,Forwards,1,110,4,6,35,88,92217
330,Virgil van Dijk,Liverpool,Defenders,1,74,0,11,49,67,97032
331,Sadio Mané,Liverpool,Midfielders,1,207,6,11,59,119,110979
332,Alisson Ramses Becker,Liverpool,Goalkeepers,0,0,0,11,43,60,116535
333,Fabio Henrique Tavares,Liverpool,Midfielders,1,46,1,9,21,54,116643
334,Mohamed Salah,Liverpool,Midfielders,8,348,10,11,117,130,118748
335,Andrew Robertson,Liverpool,Defenders,1,191,0,11,26,70,122798
336,Divock Origi,Liverpool,Forwards,0,1,1,0,6,49,152760
337,Takumi Minamino,Liverpool,Midfielders,0,1,0,0,1,51,157882
338,Trent Alexander-Arnold,Liverpool,Defenders,4,466,1,9,64,77,169187
339,Joseph Gomez,Liverpool,Defenders,0,0,0,1,2,47,171287
340,Naby Keita,Liverpool,Midfielders,1,72,2,0,30,50,175592
341,Diogo Jota,Liverpool,Midfielders,1,204,4,6,46,75,194634
342,Nathaniel Phillips,Liverpool,Defenders,0,0,0,0,0,42,197464
343,Caoimhin Kelleher,Liverpool,Goalkeepers,0,0,0,0,6,44,200720
344,Ibrahima Konaté,Liverpool,Defenders,0,5,0,2,13,51,204716
345,Curtis Jones,Liverpool,Midfielders,1,56,1,6,21,50,206915
346,Konstantinos Tsimikas,Liverpool,Defenders,1,144,0,0,24,39,214285
347,Neco Williams,Liverpool,Defenders,1,11,0,0,4,39,215136
348,Rhys Williams,Liverpool,Defenders,0,0,0,0,0,44,219937
349,Ben Davies,Liverpool,Defenders,0,0,0,0,0,40,152898
350,Harvey Elliott,Liverpool,Midfielders,0,81,0,1,9,53,444884
351,Ben Woodburn,Liverpool,Midfielders,0,0,0,0,0,45,182436
352,Tyler Morton,Liverpool,Midfielders,0,0,0,0,0,45,440148
353,Jack Grealish,Man City,Midfielders,2,334,1,3,34,77,114283
354,Kyle Walker,Man City,Defenders,0,80,0,5,37,55,58621
355,Ilkay Gündogan,Man City,Midfielders,0,241,2,1,32,72,59859
356,Kevin De Bruyne,Man City,Midfielders,0,208,2,4,29,119,61366
357,John Stones,Man City,Defenders,0,2,0,1,13,53,97299
358,Benjamin Mendy,Man City,Defenders,0,29,0,1,3,53,102826
359,Riyad Mahrez,Man City,Midfielders,1,140,2,2,24,86,103025
360,Raheem Sterling,Man City,Midfielders,0,87,1,3,19,106,103955
361,João Pedro Cavaco Cancelo,Man City,Defenders,4,225,0,5,67,65,121145
